"cutoff","lm.mse","slm.mse"
53,0.0722312082099458,0.0722312082099467
54,0.0135414197462523,0.0135414197462541
55,0.0277504611164266,0.0277504611164177
56,0.31621403947232,0.316214039472302
57,0.181913179424323,0.18191317942433
58,0.133102383505928,0.133102383505904
59,0.311961662047077,0.311961662047074
60,0.214472665984281,0.214472665984279
61,0.202137361213728,0.202137361213724
62,0.313547999808406,0.313547999808403
63,0.295278639202482,0.295278639202488
64,0.248800697931594,0.248800697931592
65,0.372353815763037,0.372353815763011
66,0.573140980327213,0.573140980327237
67,0.480456421489472,0.480456421489474
68,0.42184325624329,0.421843256243252
69,0.341666200790324,0.341666200790319
70,0.24822575314103,0.248225753141013
71,0.233171985644013,0.233171985644017
72,0.250923281346787,0.250923281346799
73,0.265052343075453,0.265052343075435
74,0.233362921276798,0.233362921276796
75,0.18322595259661,0.183225952596599
76,0.165766525962545,0.165766525962543
77,0.160958054603718,0.160958054603716
78,0.150383824768754,0.150383824768744
79,0.160042886169194,0.160042886169192
80,0.149164666834983,0.149164666834974
81,0.151755281204248,0.151755281204247
82,0.112736397072861,0.112739039865812
83,0.105365790878641,0.105355653227748
84,0.0995957599890095,0.0995673971183613
85,0.0949593681700661,0.0947961171006782
86,0.0871472754816709,0.0871481685908115
87,0.0856998294923115,0.0857373207604297
88,0.0767984971807245,0.0770865142129009
89,0.0727990427295491,0.0729677630980217
90,0.0668870405712402,0.0677543787252836
91,0.0606506755923575,0.0619944816811892
92,0.0589364699478749,0.0604030347926626
93,0.0540864776710032,0.0566280230259262
94,0.0471599144905849,0.0512123986681817
95,0.0523253656826656,0.0580187903545346
96,0.0629231160354721,0.070474644178099
97,0.0597493969739816,0.0690262861196394
98,0.0557310947656998,0.0666217484795495
99,0.0520381199863158,0.0660070442739114
100,0.0780305180480072,0.0961944064078322
101,0.072216238227214,0.0931896020399449
102,0.0617872569784948,0.0861609868714438
103,0.063263808177247,0.088362652192332
104,0.0664996953528272,0.0892293429280602
105,0.0641214414881426,0.0860257612605559
106,0.0620576071430638,0.0809103896516035
107,0.0564833321324505,0.0744026733617304
108,0.0967200989399309,0.113973984637846
109,0.0605043308939439,0.0757300591907202
110,0.0533977672591916,0.0644059874394727
111,0.0564505555004382,0.0661169169609395
112,0.0595705871390817,0.0661615705108301
113,0.0542573512740935,0.0645533109206818
114,0.0558845527278773,0.0668324479231674
115,0.0541148758089414,0.066708456178558
116,0.0528762136871317,0.0673663887265445
117,0.0578089057852078,0.0732262385431445
118,0.0551301616034147,0.0717937832213997
119,0.0526926478476037,0.071458872397964
120,0.0557584757191131,0.0738225857096608
121,0.065116498527947,0.0844784645158371
122,0.0565886621349333,0.075045004615569
123,0.060850633285985,0.0789614077561588
124,0.0626542154543427,0.0780750242403443
125,0.0593945221560559,0.0809662090478163
126,0.0529091113918014,0.0800007452613962
127,0.0531889506416523,0.0779847776189415
128,0.0520560412599277,0.0722114972174886
129,0.0738618141719897,0.0864556433008152
130,0.072530423487614,0.0847454799312954
131,0.0635540892570051,0.0859237912949705
132,0.0586236549607185,0.0844449219685512
133,0.0627054284898715,0.0863548281862377
134,0.0603837503377981,0.0826825208184195
135,0.0605006146854487,0.0752838785123778
136,0.0948145933941704,0.0680479767553484
137,0.0783312761450765,0.0684482924209346
138,0.0607535667035686,0.0708631847007427
139,0.0630630398420926,0.0749601699754626
140,0.0672354471011019,0.0709603950857261
141,0.0580264394593375,0.0728416212239158
142,0.058054188013661,0.0731248916490105
143,0.0597799290755426,0.0726205954706733
